# SteelMPF + apparent-b sources for results/calibration/individual_optimize/initial_brb_parameters.csv
# Repo root — override via build_initial_brb_parameters.py --steel-seeds
#
# One row per calibration set_id. b_p and b_n: numeric literal, or median/mean/q1/q3/min/max
# (from specimen_apparent_bn_bp.csv; re-run extract_bn_bp.py for b_p_min / b_n_min / *_max columns).
# Blank b_p or b_n defaults to median.
set_id,E,R0,cR1,cR2,a1,a2,a3,a4,b_p,b_n
1,29000,20,0.925,0.15,0.04,1,0.04,1,median,median
2,29000,20,0.925,0.15,0.04,1,0.04,1,q1,q1
3,29000,30,0.925,0.15,0.04,1,0.04,1,median,median
4,29000,30,0.925,0.15,0.04,1,0.04,1,q1,q1
5,29000,10,0.775,0.15,0.04,1,0.04,1,median,median
6,29000,10,0.775,0.15,0.04,1,0.04,1,q1,q1
7,29000,5,0.55,0.15,0.04,1,0.04,1,median,median
8,29000,5,0.55,0.15,0.04,1,0.04,1,q1,q1
9,29000,20,0.8875,0.15,0.04,1,0.04,1,median,median
10,29000,20,0.8875,0.15,0.04,1,0.04,1,q1,q1
