Deformation[in],Force[kip]
-3.109727159,-413.3349216
-3.071761098,-354.9869527
-3.090744129,-368.9364671
-3.090744129,-379.7360911
-3.090744129,-390.5357152
-3.109727159,-397.7354646
-3.064167885,-430.1343368
-3.071761098,-443.9338564
-3.026201823,-275.3397252
-3.033795036,-289.7392239
-3.033795036,-300.538848
-3.052778067,-309.5385347
-3.052778067,-320.3381588
-3.052778067,-331.1377828
-3.052778067,-341.9374069
-2.995828974,-234.8411349
-2.995828974,-247.1407068
-3.014812005,-259.1402891
-2.957862912,-175.4432025
-2.957862912,-187.7427744
-2.957862912,-197.9424193
-2.976845943,-210.5419807
-2.976845943,-221.3416048
-2.9502697,-424.3745373
-2.957862912,-438.5340444
-2.957862912,-446.933752
-2.912303638,-138.544487
-2.91989685,-151.7440275
-2.938879881,-161.9436724
-2.874337576,-109.7454894
-2.881930789,-122.94503
-2.836371514,-59.34724379
-2.843964727,-73.74674254
-2.843964727,-83.9463875
-2.862947758,-93.54605334
-2.834473211,-416.6348067
-2.843964727,-428.9343786
-2.851557939,-440.9339609
-2.798405453,-29.10829639
-2.805998665,-43.7477868
-2.768032603,-12.54887282
-2.722473329,14.45018735
-2.768032603,-52.14749441
-2.722473329,-413.5749132
-2.730066541,-427.7344203
-2.739558057,-438.2340549
-2.682608964,42.34921619
-2.69210048,30.04964434
-2.730066541,-26.94837158
-2.646541205,64.48844553
-2.654134418,51.34890292
-2.606676841,81.94783778
-2.608575144,-409.9750385
-2.616168356,-424.1345457
-2.625659871,-433.7342115
-2.570609082,103.3670922
-2.616168356,91.84749317
-2.540236232,123.3463967
-2.492778655,138.6458641
-2.521253201,-354.5369683
-2.521253201,-365.3365924
-2.521253201,-376.1362165
-2.521253201,-386.9358405
-2.502270171,-397.7354646
-2.502270171,-408.5350887
-2.502270171,-419.3347127
-2.502270171,-428.9343786
-2.464304109,151.8454047
-2.476959463,-290.9391821
-2.502270171,-300.538848
-2.502270171,-311.338472
-2.502270171,-322.1380961
-2.502270171,-332.9377202
-2.502270171,-343.7373443
-2.426338047,164.4449661
-2.445321078,-220.4416361
-2.445321078,-231.2412602
-2.464304109,-242.9408529
-2.464304109,-253.740477
-2.464304109,-264.5401011
-2.464304109,-275.3397252
-2.388371985,177.0445275
-2.401027339,-187.7427744
-2.426338047,-199.7423567
-2.426338047,-210.5419807
-2.380778773,-399.1754145
-2.388371985,-413.3349216
-2.397863501,-423.3845718
-2.350405923,190.244068
-2.363061277,-139.7444452
-2.369388954,-151.1440484
-2.388371985,-160.1437351
-2.388371985,-170.9433592
-2.331422892,-102.5457401
-2.350405923,-113.3453641
-2.350405923,-124.1449882
-2.302948346,-285.2393806
-2.312439862,-298.1389315
-2.312439862,-308.9385556
-2.312439862,-319.7381797
-2.312439862,-330.5378037
-2.312439862,-340.1374696
-2.331422892,-350.9370936
-2.331422892,-361.7367177
-2.312439862,-372.5363418
-2.312439862,-383.3359658
-2.2744738,206.1435146
-2.287129154,-70.74684697
-2.312439862,-80.94649192
-2.312439862,-91.74611599
-2.2744738,-252.8405083
-2.264982284,-267.2400071
-2.312439862,-275.3397252
-2.2744738,-394.1355899
-2.2744738,-404.935214
-2.2744738,-419.3347127
-2.249163092,-42.54782857
-2.2744738,-55.7473691
-2.228914526,-193.9825572
-2.236507738,-208.1420643
-2.236507738,-217.7417301
-2.255490769,-228.5413542
-2.255490769,-239.3409783
-2.198541676,221.442982
-2.21119703,-26.94837158
-2.189050161,-157.4438291
-2.198541676,-169.1434218
-2.217524707,-178.1431085
