Deformation[in],Force[kip]
-3.102720016,-670.1224521
-3.102117914,-699.2258987
-3.101613827,-723.591575
-3.101109741,-747.9572512
-3.100605655,-772.3229275
-3.100101569,-796.6886037
-3.056268475,-634.7922216
-3.060208749,-824.4384017
-3.01727741,-523.9283946
-3.026504987,-553.0318413
-3.026000901,-577.3975175
-3.025496815,-601.7631938
-2.982470259,-400.8817296
-2.989650687,-433.9107574
-2.9891466,-458.2764336
-2.988642514,-482.6421099
-2.988166433,-505.6541375
-2.976942114,-668.0919791
-3.003793104,-700.5795474
-3.003289018,-724.9452237
-3.002784932,-749.3108999
-3.002280846,-773.6765762
-3.00177676,-798.0422524
-2.981256252,-839.6669493
-2.951788214,-363.521026
-2.965902627,-631.5434647
-2.90520225,-239.6621718
-2.914429827,-268.7656184
-2.913925741,-293.1312946
-2.913421655,-317.4969709
-2.912917569,-341.8626471
-2.92860025,-534.0807597
-2.928096163,-558.446436
-2.947251438,-582.8121122
-2.946747352,-607.1777885
-2.895128928,-821.5957395
-2.877225467,-166.565143
-2.876623364,-195.6685896
-2.876175287,-217.3269685
-2.872730698,-383.8257562
-2.891717944,-416.3133245
-2.891213858,-440.6790008
-2.890751779,-463.014204
-2.909949061,-485.3494072
-2.909444975,-509.7150835
-2.863181066,-845.4199562
-2.831278012,-106.8692362
-2.838480843,-138.8153451
-2.801066447,-46.7672348
-2.800562361,-71.13291105
-2.816693118,-241.6926448
-2.816189032,-266.058321
-2.815684946,-290.4239973
-2.834840221,-314.7896735
-2.834336135,-339.1553498
-2.833832048,-363.521026
-2.785271747,-810.2250905
-2.763175969,22.2688479
-2.762251811,-22.40155855
-2.778886655,-168.595616
-2.778382569,-192.9612923
-2.777878483,-217.3269685
-2.745504948,-831.8834694
-2.714909718,64.90878133
-2.7241653,37.15898338
-2.721448836,-94.14493861
-2.740576106,-119.8642635
-2.74007202,-144.2299398
-2.6785399,112.42185
-2.685798741,83.18303852
-2.702769643,-46.7672348
-2.702265556,-71.13291105
-2.66748361,-802.1031985
-2.638540662,174.5543244
-2.64776824,145.4508778
-2.664039021,-18.34061251
-2.627660802,-826.4688747
-2.602221253,224.5039607
-2.609429686,192.8285816
-2.619707443,56.11006491
-2.645303818,26.32979394
-2.571539208,261.8646643
-2.588174052,115.6706068
-2.587711973,93.33540362
-2.539655757,-804.1336715
-2.532724572,286.2303406
-2.549863502,164.4019593
-2.549401423,142.0667561
-2.509704637,-826.4688747
-2.484122264,312.6264898
-2.482631009,240.5446976
-2.504887814,207.7187171
-2.530708228,188.7676356
-2.445391642,341.0531121
-2.453611047,263.218313
-2.423808353,-797.2300632
-2.382002806,-822.4079287
-2.367510328,377.6016265
-2.395529118,306.5350708
-2.414684393,282.1693945
-2.328695692,401.9673027
-2.337559208,355.2664233
-2.376289829,326.839801
-2.335486853,255.0964209
-2.313951172,-785.8594143
-2.274061152,-813.4738474
-2.252654293,432.4243981
-2.246627662,394.522235
-2.21725064,241.5599341
-2.196163035,-777.7375222
-2.174688964,464.9119664
-2.156172199,-810.2250905
-2.162221233,432.4243981
-2.104545373,495.3690617
-2.11844975,217.1942579
-2.070275914,-780.986279
-2.064596543,464.9119664
-2.038188028,-811.5787392
-2.016582335,519.7347379
-2.019564845,188.7676356
-1.97678053,496.3842982
-1.960418733,-769.6156301
-1.95191648,-800.47882
-1.90097017,538.0089951
-1.920637933,158.3105403
-1.868927092,509.5823728
-1.842630597,-761.493738
-1.841958482,-793.9813064
-1.841454396,131.914391
-1.783518091,562.3746714
-1.79076573,532.5944004
-1.762270859,105.5182417
-1.716743476,-764.7424949
