Time[s],Deformation[in]
0,0
0.25,0.27270759
0.5,0.385433962
0.75,0.27237864
1,4.71645E-17
1.25,-0.272050866
1.5,-0.384506875
1.75,-0.271724263
2,-9.41026E-17
2.25,0.271398828
2.5,0.383586403
2.75,0.271074555
3,1.40817E-16
3.25,-0.270751441
3.5,-0.382672497
3.75,-0.270429482
4,-1.8731E-16
4.25,0.270108674
4.5,0.381765112
4.75,0.269789012
5,2.33583E-16
5.25,-0.269470492
5.5,-0.380864201
5.75,-0.26915311
6,-2.7964E-16
6.25,0.268836863
6.5,0.379969717
6.75,0.268521746
7,3.25482E-16
7.25,-0.268207755
7.5,-0.379081615
7.75,-0.267894886
8,-3.71112E-16
8.25,0.267583135
8.5,0.378199848
8.75,0.267272498
9,4.16532E-16
9.25,-0.266962971
9.5,-0.377324373
9.75,-0.266654551
10,-4.61745E-16
10.25,0.266347232
10.5,0.376455144
10.75,0.266041012
11,1.84265E-15
11.25,-0.265735886
11.5,-0.375592116
11.75,-0.26543185
12,-5.51556E-16
12.25,0.265128901
12.5,0.374735245
12.75,0.264827035
13,-7.33654E-16
13.25,-0.264526247
13.5,-0.373884488
13.75,-0.264226535
14,-6.40564E-16
14.25,0.263927893
14.5,0.3730398
14.75,0.263630318
15,2.00858E-15
15.25,-0.263333807
15.5,-0.372201139
15.75,-0.263038356
16,-7.28785E-16
16.25,0.26274396
16.5,0.371368461
16.75,0.262450617
17,-5.45289E-16
17.25,-0.262158321
17.5,-0.370541724
17.75,-0.26186707
18,-8.16237E-16
18.25,0.261576861
18.5,0.369720885
18.75,0.261287688
19,2.17174E-15
19.25,-0.260999548
19.5,-0.368905902
19.75,-0.260712438
20,-9.02936E-16
20.25,0.260426355
20.5,0.368096734
20.75,0.260141293
21,-3.60304E-16
21.25,-0.259857251
21.5,-0.367293338
21.75,-0.259574223
22,-3.59584E-15
22.25,0.259292207
22.5,0.366495675
22.75,0.259011198
23,2.33225E-15
23.25,-0.258731194
23.5,-0.365703702
23.75,-0.258452191
24,-1.07414E-15
24.25,0.258174184
24.5,0.364917379
24.75,0.257897171
25,-1.78561E-16
25.25,-0.257621148
25.5,-0.364136667
25.75,-0.257346111
26,1.42591E-15
26.25,0.257072057
26.5,0.363361524
26.75,0.256798983
27,2.49024E-15
27.25,-0.256526884
27.5,-0.362591912
27.75,-0.256255758
28,-1.24253E-15
28.25,0.255985601
28.5,0.36182779
28.75,0.255716409
29,7.83765E-20
29.25,-0.255448179
29.5,-0.36106912
29.75,-0.255180907
30,-3.88857E-15
30.25,0.254914591
30.5,0.360315863
30.75,0.254649227
31,2.64581E-15
31.25,-0.25438481
31.5,-0.35956798
31.75,-0.254121339
32,-1.40822E-15
32.25,0.253858809
32.5,0.358825432
32.75,0.253597218
33,1.75743E-16
33.25,-0.253336561
33.5,-0.358088182
33.75,-0.253076836
34,1.05167E-15
34.25,0.252818038
34.5,0.357356192
34.75,0.252560166
35,2.79908E-15
35.25,-0.252303215
35.5,-0.356629424
35.75,-0.252047183
36,-1.57133E-15
36.25,0.251792065
36.5,0.355907842
36.75,0.251537859
37,3.48557E-16
37.25,-0.251284562
37.5,-0.355191407
37.75,-0.251032169
38,-4.17321E-15
38.25,0.250780679
38.5,0.354480084
38.75,0.250530087
39,2.95015E-15
39.25,-0.250280391
39.5,-0.353773836
39.75,-0.250031588
40,-1.73198E-15
40.25,0.249783673
40.5,0.353072626
40.75,0.249536644
41,5.53115E-15
41.25,-0.249290498
41.5,-0.352376419
41.75,-0.249045232
42,6.8991E-16
42.25,0.248800842
42.5,0.351685179
42.75,0.248557326
43,3.09913E-15
43.25,-0.248314679
43.5,-0.350998871
43.75,-0.2480729
44,-6.87342E-15
44.25,0.247831985
44.5,0.350317459
44.75,0.247591931
45,6.86117E-16
45.25,-0.247352735
45.5,-0.349640908
45.75,-0.247114393
46,-4.45053E-15
46.25,0.246876903
46.5,0.348969185
46.75,0.246640262
47,-1.70829E-15
47.25,-0.246404467
47.5,-0.348302254
47.75,-0.246169514
48,-2.04631E-15
48.25,0.245935401
48.5,0.347640081
48.75,0.245702124
49,5.78667E-15
49.25,-0.245469682
49.5,-0.346982632
49.75,-0.245238069
50,3.39613E-16
50.25,0.245007285
50.5,0.346329873
50.75,0.244777325
51,3.39119E-15
51.25,-0.244548187
51.5,-0.345681772
51.75,-0.244319868
52,2.70765E-15
52.25,0.244092365
52.5,0.345038295
52.75,0.243865674
53,1.01367E-15
53.25,-0.243639794
53.5,-0.344399408
53.75,-0.243414721
54,-4.72122E-15
54.25,0.243190453
54.5,0.34376508
54.75,0.242966985
55,-1.34626E-15
55.25,-0.242744317
55.5,-0.343135277
55.75,-0.242522444
56,-2.35204E-15
56.25,0.242301364
56.5,0.342509967
56.75,0.242081074
57,6.0369E-15
57.25,-0.241861571
57.5,-0.341889119
57.75,-0.241642853
58,-1.48137E-19
58.25,0.241424916
58.5,0.3412727
58.75,0.241207758
59,3.67599E-15
59.25,-0.240991377
59.5,-0.340660678
59.75,-0.240775768
60,-7.33868E-15
60.25,0.24056093
60.5,0.340053024
60.75,0.24034686
61,1.33206E-15
61.25,-0.240133554
61.5,-0.339449704
61.75,-0.239921011
62,-4.98596E-15
62.25,0.239709228
