Deformation[in],Force[kip]
-1.022506205,-734.2230626
-1.022430717,-745.0786433
-1.022355229,-755.934224
-1.022204254,-777.6453853
-1.022128766,-788.500966
-1.022053278,-799.3565466
-1.02197779,-810.2121273
-1.021902302,-821.067708
-1.021826814,-831.9232887
-1.021751327,-842.7788693
-1.021675839,-853.63445
-1.021600351,-864.4900307
-1.021524863,-875.3456113
-1.021449375,-886.201192
-1.021373887,-897.0567727
-1.021298399,-907.9123533
-1.021222912,-918.767934
-1.021147424,-929.6235147
-1.021071936,-940.4790954
-1.020996448,-951.334676
-1.02092096,-962.1902567
-0.993971796,-647.3784173
-0.993896308,-658.2339979
-0.993820821,-669.0895786
-0.993745333,-679.9451593
-0.993669845,-690.8007399
-0.993594357,-701.6563206
-0.993518869,-712.5119013
-0.993443381,-723.367482
-0.993367893,-734.2230626
-0.993292406,-745.0786433
-0.993216918,-755.934224
-0.99314143,-766.7898046
-0.993065942,-777.6453853
-0.992990454,-788.500966
-0.992914966,-799.3565466
-0.992839478,-810.2121273
-0.992763991,-821.067708
-0.992688503,-831.9232887
-0.992613015,-842.7788693
-0.992537527,-853.63445
-0.992462039,-864.4900307
-0.992386551,-875.3456113
-0.992311063,-886.201192
-0.992235576,-897.0567727
-0.992160088,-907.9123533
-0.9920846,-918.767934
-0.992009112,-929.6235147
-0.991933624,-940.4790954
-0.991858136,-951.334676
-0.991782649,-962.1902567
-0.991707161,-973.0458374
-0.965588363,-538.8226106
-0.965512875,-549.6781912
-0.965437388,-560.5337719
-0.9653619,-571.3893526
-0.965286412,-582.2449332
-0.965210924,-593.1005139
-0.965135436,-603.9560946
-0.965059948,-614.8116753
-0.96498446,-625.6672559
-0.964908973,-636.5228366
-0.964833485,-647.3784173
-0.964757997,-658.2339979
-0.964682509,-669.0895786
-0.964607021,-679.9451593
-0.964531533,-690.8007399
-0.964456045,-701.6563206
-0.964380558,-712.5119013
-0.96430507,-723.367482
-0.964229582,-734.2230626
-0.964154094,-745.0786433
-0.964078606,-755.934224
-0.964003118,-766.7898046
-0.96392763,-777.6453853
-0.963852143,-788.500966
-0.963776655,-799.3565466
-0.963701167,-810.2121273
-0.963625679,-821.067708
-0.963550191,-831.9232887
-0.963474703,-842.7788693
-0.963399215,-853.63445
-0.962719825,-951.334676
-0.962644337,-962.1902567
-0.962568849,-973.0458374
-0.937355906,-408.5556425
-0.937280418,-419.4112232
-0.93720493,-430.2668039
-0.937129442,-441.1223845
-0.937053954,-451.9779652
-0.936978467,-462.8335459
-0.936902979,-473.6891265
-0.936827491,-484.5447072
-0.936752003,-495.4002879
-0.936676515,-506.2558686
-0.936601027,-517.1114492
-0.936525539,-527.9670299
-0.936450052,-538.8226106
-0.936374564,-549.6781912
-0.936299076,-560.5337719
-0.936223588,-571.3893526
-0.9361481,-582.2449332
-0.936072612,-593.1005139
-0.935997125,-603.9560946
-0.935921637,-614.8116753
-0.935846149,-625.6672559
-0.935770661,-636.5228366
-0.935695173,-647.3784173
-0.935619685,-658.2339979
-0.935544197,-669.0895786
-0.93546871,-679.9451593
-0.935393222,-690.8007399
-0.934638343,-799.3565466
-0.934562855,-810.2121273
-0.93441188,-831.9232887
-0.934336392,-842.7788693
-0.934260904,-853.63445
-0.934185416,-864.4900307
-0.934109928,-875.3456113
-0.93403444,-886.201192
-0.933958952,-897.0567727
-0.933883465,-907.9123533
-0.933807977,-918.767934
-0.933732489,-929.6235147
-0.933657001,-940.4790954
-0.933581513,-951.334676
-0.933506025,-962.1902567
-0.933430537,-973.0458374
-0.93335505,-983.901418
-0.908896985,-310.8554165
-0.908821497,-321.7109972
-0.908746009,-332.5665778
-0.908670521,-343.4221585
-0.908595034,-354.2777392
-0.908519546,-365.1333199
-0.908444058,-375.9889005
-0.90836857,-386.8444812
-0.908293082,-397.7000619
-0.908217594,-408.5556425
-0.908142106,-419.4112232
-0.908066619,-430.2668039
-0.907991131,-441.1223845
-0.907915643,-451.9779652
-0.907840155,-462.8335459
-0.907764667,-473.6891265
-0.907689179,-484.5447072
-0.907613691,-495.4002879
-0.907538204,-506.2558686
-0.907462716,-517.1114492
-0.907387228,-527.9670299
-0.90731174,-538.8226106
-0.907236252,-549.6781912
-0.907160764,-560.5337719
-0.907085276,-571.3893526
-0.907009789,-582.2449332
-0.906934301,-593.1005139
-0.906858813,-603.9560946
-0.906707837,-625.6672559
-0.906632349,-636.5228366
-0.906556862,-647.3784173
-0.906330398,-679.9451593
-0.90625491,-690.8007399
-0.906179422,-701.6563206
-0.906103934,-712.5119013
-0.906028447,-723.367482
-0.905952959,-734.2230626
-0.905877471,-745.0786433
-0.905801983,-755.934224
-0.905726495,-766.7898046
-0.905651007,-777.6453853
-0.905575519,-788.500966
-0.905500032,-799.3565466
-0.905424544,-810.2121273
-0.905349056,-821.067708
-0.905273568,-831.9232887
-0.90519808,-842.7788693
-0.905122592,-853.63445
-0.905047104,-864.4900307
-0.904971617,-875.3456113
-0.904896129,-886.201192
-0.904820641,-897.0567727
-0.904745153,-907.9123533
-0.904669665,-918.767934
-0.904594177,-929.6235147
-0.904518689,-940.4790954
-0.904443202,-951.334676
-0.904367714,-962.1902567
-0.904292226,-973.0458374
-0.88058904,-191.4440291
-0.880513552,-202.2996098
-0.880438064,-213.1551905
-0.880362576,-224.0107711
-0.880287088,-234.8663518
-0.880211601,-245.7219325
-0.880136113,-256.5775132
-0.880060625,-267.4330938
-0.879985137,-278.2886745
-0.879909649,-289.1442552
-0.879834161,-299.9998358
-0.879758673,-310.8554165
-0.879683186,-321.7109972
-0.879607698,-332.5665778
-0.87953221,-343.4221585
-0.879456722,-354.2777392
-0.879381234,-365.1333199
-0.879305746,-375.9889005
-0.879230258,-386.8444812
-0.879154771,-397.7000619
-0.879079283,-408.5556425
-0.879003795,-419.4112232
-0.878928307,-430.2668039
-0.878852819,-441.1223845
-0.878777331,-451.9779652
-0.878701843,-462.8335459
-0.878626356,-473.6891265
-0.87847538,-495.4002879
-0.877871477,-582.2449332
-0.877795989,-593.1005139
-0.877720501,-603.9560946
-0.877645013,-614.8116753
-0.877569526,-625.6672559
-0.877494038,-636.5228366
-0.87741855,-647.3784173
-0.877343062,-658.2339979
-0.877267574,-669.0895786
-0.877192086,-679.9451593
-0.877116599,-690.8007399
-0.877041111,-701.6563206
-0.876965623,-712.5119013
-0.876890135,-723.367482
-0.876814647,-734.2230626
-0.876739159,-745.0786433
-0.876663671,-755.934224
-0.876588184,-766.7898046
-0.876512696,-777.6453853
-0.876437208,-788.500966
-0.87636172,-799.3565466
-0.876286232,-810.2121273
-0.876210744,-821.067708
-0.876135256,-831.9232887
-0.876059769,-842.7788693
-0.875984281,-853.63445
-0.875908793,-864.4900307
-0.875833305,-875.3456113
-0.875757817,-886.201192
-0.875682329,-897.0567727
-0.875606841,-907.9123533
-0.875531354,-918.767934
-0.875455866,-929.6235147
-0.875380378,-940.4790954
-0.87530489,-951.334676
-0.875229402,-962.1902567
-0.875153914,-973.0458374
-0.851828167,-137.1661258
-0.85175268,-148.0217065
-0.851677192,-158.8772871
-0.851601704,-169.7328678
-0.851526216,-180.5884485
-0.851450728,-191.4440291
-0.85137524,-202.2996098
-0.851299752,-213.1551905
-0.851224265,-224.0107711
-0.851148777,-234.8663518
-0.851073289,-245.7219325
-0.850997801,-256.5775132
-0.850922313,-267.4330938
-0.850846825,-278.2886745
-0.850771338,-289.1442552
-0.85069585,-299.9998358
-0.850620362,-310.8554165
-0.850544874,-321.7109972
-0.850469386,-332.5665778
-0.850393898,-343.4221585
-0.85031841,-354.2777392
-0.850167435,-375.9889005
-0.850091947,-386.8444812
-0.849865483,-419.4112232
-0.849789995,-430.2668039
-0.849412556,-484.5447072
-0.849337068,-495.4002879
-0.84926158,-506.2558686
-0.849186093,-517.1114492
-0.849110605,-527.9670299
-0.849035117,-538.8226106
-0.848959629,-549.6781912
-0.848884141,-560.5337719
-0.848808653,-571.3893526
-0.848733165,-582.2449332
-0.848657678,-593.1005139
-0.84858219,-603.9560946
-0.848506702,-614.8116753
-0.848431214,-625.6672559
-0.848355726,-636.5228366
-0.848280238,-647.3784173
-0.84820475,-658.2339979
-0.848129263,-669.0895786
-0.848053775,-679.9451593
-0.847978287,-690.8007399
-0.847902799,-701.6563206
-0.847827311,-712.5119013
-0.847751823,-723.367482
-0.847676336,-734.2230626
-0.847600848,-745.0786433
-0.84752536,-755.934224
-0.847449872,-766.7898046
-0.847374384,-777.6453853
-0.847298896,-788.500966
-0.847223408,-799.3565466
-0.847147921,-810.2121273
-0.847072433,-821.067708
-0.846921457,-842.7788693
-0.846845969,-853.63445
-0.846770481,-864.4900307
-0.846694993,-875.3456113
-0.846619506,-886.201192
-0.846544018,-897.0567727
-0.84646853,-907.9123533
-0.846393042,-918.767934
-0.846317554,-929.6235147
-0.846242066,-940.4790954
-0.846166578,-951.334676
-0.846091091,-962.1902567
-0.846015603,-973.0458374
-0.823218271,-61.1770611
-0.823142783,-72.03264177
-0.823067295,-82.88822244
-0.822991807,-93.7438031
-0.822916319,-104.5993838
-0.822840832,-115.4549644
-0.822765344,-126.3105451
-0.822689856,-137.1661258
-0.822614368,-148.0217065
-0.82253888,-158.8772871
-0.822463392,-169.7328678
-0.822387904,-180.5884485
-0.822312417,-191.4440291
-0.822236929,-202.2996098
-0.822161441,-213.1551905
-0.822085953,-224.0107711
-0.822010465,-234.8663518
-0.821934977,-245.7219325
-0.821859489,-256.5775132
-0.821784002,-267.4330938
-0.821633026,-289.1442552
-0.821557538,-299.9998358
-0.82148205,-310.8554165
-0.821331075,-332.5665778
-0.821255587,-343.4221585
-0.821180099,-354.2777392
-0.821104611,-365.1333199
-0.821029123,-375.9889005
-0.820953635,-386.8444812
-0.820878147,-397.7000619
-0.82080266,-408.5556425
-0.820727172,-419.4112232
-0.820651684,-430.2668039
-0.820576196,-441.1223845
-0.820500708,-451.9779652
-0.82042522,-462.8335459
-0.820349732,-473.6891265
-0.820274245,-484.5447072
-0.820198757,-495.4002879
-0.820123269,-506.2558686
-0.820047781,-517.1114492
-0.819972293,-527.9670299
-0.819896805,-538.8226106
-0.819821317,-549.6781912
-0.81974583,-560.5337719
-0.819670342,-571.3893526
-0.819594854,-582.2449332
-0.819519366,-593.1005139
-0.819443878,-603.9560946
-0.81936839,-614.8116753
-0.819292902,-625.6672559
-0.819217415,-636.5228366
-0.819141927,-647.3784173
-0.819066439,-658.2339979
-0.818990951,-669.0895786
-0.818915463,-679.9451593
-0.818839975,-690.8007399
-0.818764487,-701.6563206
-0.818689,-712.5119013
-0.818613512,-723.367482
-0.818538024,-734.2230626
-0.818462536,-745.0786433
-0.818387048,-755.934224
-0.81831156,-766.7898046
-0.818236073,-777.6453853
-0.817783145,-842.7788693
-0.817707658,-853.63445
-0.81763217,-864.4900307
-0.817556682,-875.3456113
-0.817481194,-886.201192
-0.817405706,-897.0567727
-0.817330218,-907.9123533
-0.81725473,-918.767934
-0.817179243,-929.6235147
-0.817103755,-940.4790954
-0.817028267,-951.334676
-0.816952779,-962.1902567
-0.794683862,25.66758426
-0.794306423,-28.61031909
-0.794230935,-39.46589976
-0.794155447,-50.32148043
-0.794079959,-61.1770611
-0.794004471,-72.03264177
-0.793928984,-82.88822244
-0.793853496,-93.7438031
-0.793778008,-104.5993838
-0.79370252,-115.4549644
-0.793627032,-126.3105451
-0.793551544,-137.1661258
-0.793476056,-148.0217065
-0.793400569,-158.8772871
-0.793325081,-169.7328678
-0.793249593,-180.5884485
-0.793174105,-191.4440291
-0.793098617,-202.2996098
-0.793023129,-213.1551905
-0.792947641,-224.0107711
-0.792872154,-234.8663518
-0.792796666,-245.7219325
-0.792721178,-256.5775132
-0.79264569,-267.4330938
-0.792570202,-278.2886745
-0.792494714,-289.1442552
-0.792419226,-299.9998358
-0.792343739,-310.8554165
-0.792268251,-321.7109972
-0.792192763,-332.5665778
-0.792117275,-343.4221585
-0.792041787,-354.2777392
-0.791966299,-365.1333199
-0.791890812,-375.9889005
-0.791815324,-386.8444812
-0.791739836,-397.7000619
-0.791664348,-408.5556425
-0.79158886,-419.4112232
-0.791513372,-430.2668039
-0.791437884,-441.1223845
-0.791362397,-451.9779652
-0.791286909,-462.8335459
-0.791211421,-473.6891265
-0.791135933,-484.5447072
-0.791060445,-495.4002879
-0.790984957,-506.2558686
-0.790909469,-517.1114492
-0.790833982,-527.9670299
-0.790758494,-538.8226106
-0.790683006,-549.6781912
-0.790607518,-560.5337719
-0.79053203,-571.3893526
-0.790456542,-582.2449332
-0.790381054,-593.1005139
-0.790305567,-603.9560946
-0.790230079,-614.8116753
-0.790154591,-625.6672559
-0.790079103,-636.5228366
-0.790003615,-647.3784173
-0.789928127,-658.2339979
-0.789852639,-669.0895786
-0.789777152,-679.9451593
-0.789701664,-690.8007399
-0.789626176,-701.6563206
-0.788644834,-842.7788693
-0.788569346,-853.63445
-0.788493858,-864.4900307
-0.78841837,-875.3456113
-0.788342882,-886.201192
-0.788267395,-897.0567727
-0.788191907,-907.9123533
-0.788116419,-918.767934
-0.788040931,-929.6235147
-0.787965443,-940.4790954
-0.787889955,-951.334676
-0.765998478,90.80106828
-0.76592299,79.94548761
-0.765847502,69.08990694
-0.765772014,58.23432627
-0.765696526,47.3787456
-0.765621038,36.52316493
-0.765545551,25.66758426
-0.765470063,14.81200359
-0.765168111,-28.61031909
-0.765092623,-39.46589976
-0.765017136,-50.32148043
-0.764941648,-61.1770611
-0.76486616,-72.03264177
-0.764790672,-82.88822244
-0.764715184,-93.7438031
-0.764488721,-126.3105451
-0.764337745,-148.0217065
-0.764262257,-158.8772871
-0.764186769,-169.7328678
-0.764111281,-180.5884485
-0.764035793,-191.4440291
-0.763960306,-202.2996098
-0.763884818,-213.1551905
-0.76380933,-224.0107711
-0.763733842,-234.8663518
-0.763658354,-245.7219325
-0.763582866,-256.5775132
-0.763507378,-267.4330938
-0.763431891,-278.2886745
-0.763356403,-289.1442552
-0.763280915,-299.9998358
-0.763205427,-310.8554165
-0.763129939,-321.7109972
-0.763054451,-332.5665778
-0.762978963,-343.4221585
-0.762903476,-354.2777392
-0.762827988,-365.1333199
-0.7627525,-375.9889005
-0.762677012,-386.8444812
-0.762601524,-397.7000619
-0.762526036,-408.5556425
-0.762450549,-419.4112232
-0.762375061,-430.2668039
-0.762299573,-441.1223845
-0.762224085,-451.9779652
-0.762148597,-462.8335459
-0.761393719,-571.3893526
-0.761318231,-582.2449332
-0.761242743,-593.1005139
-0.761167255,-603.9560946
-0.761091767,-614.8116753
-0.761016279,-625.6672559
-0.760940791,-636.5228366
-0.759506522,-842.7788693
-0.759431034,-853.63445
-0.759355546,-864.4900307
-0.759280059,-875.3456113
-0.759204571,-886.201192
-0.759129083,-897.0567727
-0.759053595,-907.9123533
-0.758978107,-918.767934
-0.758902619,-929.6235147
-0.758827132,-940.4790954
-0.758751644,-951.334676
-0.73708663,123.3678103
-0.737011142,112.5122296
-0.736935654,101.656649
-0.736860166,90.80106828
-0.736784678,79.94548761
-0.73670919,69.08990694
-0.736633702,58.23432627
-0.736558215,47.3787456
-0.736482727,36.52316493
-0.736407239,25.66758426
-0.736331751,14.81200359
-0.7360298,-28.61031909
-0.735954312,-39.46589976
-0.735878824,-50.32148043
-0.735803336,-61.1770611
-0.735727848,-72.03264177
-0.735576873,-93.7438031
-0.735425897,-115.4549644
-0.735350409,-126.3105451
-0.735274921,-137.1661258
-0.735199433,-148.0217065
-0.735123945,-158.8772871
-0.735048458,-169.7328678
-0.73497297,-180.5884485
-0.734897482,-191.4440291
-0.734821994,-202.2996098
-0.734746506,-213.1551905
-0.734671018,-224.0107711
-0.73459553,-234.8663518
-0.734520043,-245.7219325
-0.734444555,-256.5775132
-0.734369067,-267.4330938
-0.734293579,-278.2886745
-0.734218091,-289.1442552
-0.734142603,-299.9998358
-0.734067115,-310.8554165
-0.733991628,-321.7109972
-0.73391614,-332.5665778
-0.733840652,-343.4221585
-0.733765164,-354.2777392
-0.733689676,-365.1333199
-0.733614188,-375.9889005
-0.7335387,-386.8444812
-0.733463213,-397.7000619
-0.733387725,-408.5556425
-0.733312237,-419.4112232
-0.732406383,-549.6781912
-0.732330895,-560.5337719
-0.732255407,-571.3893526
-0.732179919,-582.2449332
-0.732104431,-593.1005139
-0.732028943,-603.9560946
-0.730443698,-831.9232887
-0.730368211,-842.7788693
-0.730292723,-853.63445
-0.730217235,-864.4900307
-0.730141747,-875.3456113
-0.730066259,-886.201192
-0.729990771,-897.0567727
-0.729915283,-907.9123533
-0.729839796,-918.767934
-0.729764308,-929.6235147
-0.72968882,-940.4790954
-0.729613332,-951.334676
-0.708401245,188.5012943
-0.708325757,177.6457136
-0.708250269,166.790133
-0.708174782,155.9345523
-0.708099294,145.0789716
-0.708023806,134.223391
-0.707948318,123.3678103
-0.70787283,112.5122296
-0.707797342,101.656649
-0.707721854,90.80106828
-0.707646367,79.94548761
-0.707570879,69.08990694
-0.707495391,58.23432627
-0.707419903,47.3787456
-0.707344415,36.52316493
-0.707268927,25.66758426
-0.707193439,14.81200359
-0.706891488,-28.61031909
-0.706816,-39.46589976
-0.706740512,-50.32148043
-0.706665025,-61.1770611
-0.706589537,-72.03264177
-0.706514049,-82.88822244
-0.706438561,-93.7438031
-0.706363073,-104.5993838
-0.706287585,-115.4549644
-0.706212097,-126.3105451
-0.70613661,-137.1661258
-0.706061122,-148.0217065
-0.705985634,-158.8772871
-0.705910146,-169.7328678
-0.705834658,-180.5884485
-0.70575917,-191.4440291
-0.705683682,-202.2996098
-0.705608195,-213.1551905
-0.705532707,-224.0107711
-0.705457219,-234.8663518
-0.705381731,-245.7219325
-0.705306243,-256.5775132
-0.705230755,-267.4330938
-0.705155267,-278.2886745
-0.70507978,-289.1442552
-0.705004292,-299.9998358
-0.704928804,-310.8554165
-0.703494535,-517.1114492
-0.703419047,-527.9670299
-0.703343559,-538.8226106
-0.703268071,-549.6781912
-0.703192583,-560.5337719
-0.701305387,-831.9232887
-0.701229899,-842.7788693
-0.701154411,-853.63445
-0.701078923,-864.4900307
-0.701003435,-875.3456113
-0.700927948,-886.201192
-0.70085246,-897.0567727
-0.700776972,-907.9123533
-0.700701484,-918.767934
-0.700625996,-929.6235147
-0.700550508,-940.4790954
-0.70047502,-951.334676
-0.679640373,242.7791977
-0.679564885,231.923617
-0.679489397,221.0680363
-0.679413909,210.2124557
-0.679338421,199.356875
-0.679262934,188.5012943
-0.679187446,177.6457136
-0.679111958,166.790133
-0.67903647,155.9345523
-0.678960982,145.0789716
-0.678885494,134.223391
-0.678810006,123.3678103
-0.678734519,112.5122296
-0.678659031,101.656649
-0.678583543,90.80106828
-0.678508055,79.94548761
-0.678432567,69.08990694
-0.678357079,58.23432627
-0.678281591,47.3787456
-0.678206104,36.52316493
-0.678130616,25.66758426
-0.678055128,14.81200359
-0.677753176,-28.61031909
-0.677677689,-39.46589976
-0.677602201,-50.32148043
-0.677526713,-61.1770611
-0.677451225,-72.03264177
-0.677375737,-82.88822244
-0.677300249,-93.7438031
-0.677224761,-104.5993838
-0.677149274,-115.4549644
-0.677073786,-126.3105451
-0.676998298,-137.1661258
-0.67692281,-148.0217065
-0.676847322,-158.8772871
-0.676771834,-169.7328678
-0.676696347,-180.5884485
-0.676620859,-191.4440291
-0.676545371,-202.2996098
-0.676469883,-213.1551905
-0.676394395,-224.0107711
-0.676318907,-234.8663518
-0.674507199,-495.4002879
-0.674431711,-506.2558686
-0.674356223,-517.1114492
