Deformation[in],Force[kip]
-0.033994334,1.227259466
0.220963173,76.36678494
0.288951841,88.34197623
0.424929178,95.0166113
0.59490085,97.7120646
0.849858357,99.76188908
0.849858357,91.78846715
0.83286119,83.81128062
0.815864023,74.50519044
0.764872521,65.19157106
0.730878187,55.21726445
0.696883853,45.24295785
0.679886686,34.60796401
0.628895184,21.30763367
0.577903683,10.66511063
0.543909348,1.355255852
0.509915014,-7.954598929
0.458923513,-19.26157379
0.407932011,-30.56854865
0.35694051,-39.88216803
0.322946176,-47.86311916
0.271954674,-54.51893123
0.186968839,-62.51117616
0.101983003,-68.5100656
-0.050991501,-73.19510979
-0.169971671,-81.19488391
-0.288951841,-88.53020621
-0.492917847,-93.22654419
-0.679886686,-95.9257621
-0.866855524,-99.28943183
-0.849858357,-87.98998617
-0.849858357,-78.02320876
-0.83286119,-66.72376309
-0.815864023,-58.08212474
-0.747875354,-48.10028893
-0.71388102,-37.4615305
-0.679886686,-24.82941658
-0.679886686,-14.86263917
-0.611898017,-2.887447884
-0.577903683,7.751310551
-0.543909348,19.05452081
-0.492917847,27.70368837
-0.458923513,37.01354315
-0.390934844,46.33092713
-0.322946176,57.64166659
-0.271954674,66.29083414
-0.135977337,74.29437286
0.016997167,82.96612802
0.203966006,88.98760506
0.407932011,94.34839487
0.611898017,97.05137737
0.798866856,101.0794989
1.172804533,103.8201274
1.393767705,106.5268745
1.631728045,108.5729344
1.648725212,99.27437343
1.631728045,90.63273508
1.614730878,81.32664489
1.580736544,74.67459742
1.563739377,64.03960359
1.529745042,54.72974881
1.495750708,44.7554422
1.461756374,34.11668376
1.393767705,22.8059443
1.359773371,10.17383039
1.291784703,0.856446406
1.291784703,-5.123620039
1.291784703,-13.09704197
1.223796034,-22.41442595
1.138810198,-33.72893001
1.036827195,-46.37610232
0.934844193,-58.35882281
0.781869688,-67.03057796
0.560906516,-76.38184334
0.407932011,-81.06688752
0.254957507,-85.08747988
0.033994334,-89.12313064
-0.135977337,-93.81193943
-0.407932011,-98.52333581
-0.662889518,-102.5665158
-0.95184136,-105.9527731
-1.223796034,-108.670814
-1.631728045,-113.4123272
-1.648725212,-102.1204107
-1.614730878,-90.15274863
-1.614730878,-78.19261574
-1.563739377,-64.89228539
-1.54674221,-51.59948425
-1.495750708,-36.30579842
-1.444759207,-21.67656443
-1.393767705,-9.705137737
-1.359773371,-0.395282957
-1.30878187,10.24724008
-1.257790368,21.55421494
-1.206798867,32.8611898
-1.155807365,44.83261649
-1.053824363,56.81533698
-0.95184136,68.79805747
-0.781869688,78.13802904
-0.526912181,86.16791996
-0.23796034,91.54753278
0.033994334,95.59447733
0.35694051,98.32381203
0.679886686,101.0531467
1.07082153,105.1264435
1.410764873,107.195091
1.699716714,109.2524446
2.005665722,110.6491111
2.277620397,112.0382483
2.447592068,113.404798
2.447592068,105.4313761
2.464589235,94.80391142
2.447592068,84.16891758
2.396600567,73.52639455
2.328611898,60.22229961
2.294617564,46.92573386
2.243626062,33.62540352
2.175637394,18.99240492
2.158640227,5.699603776
2.090651558,-7.604491167
2.02266289,-18.2507788
1.937677054,-31.55863834
1.869688385,-44.86273329
1.733711048,-58.18188663
1.54674221,-70.84788194
1.291784703,-78.87777286
1.053824363,-84.9105437
0.781869688,-90.28639191
0.407932011,-95.68482772
0.067988669,-99.08237885
-0.288951841,-102.4836946
-0.560906516,-105.8661873
-0.917847025,-110.5964067
-1.274787535,-113.9977224
-1.699716714,-117.4140965
-1.954674221,-121.4572765
-2.243626062,-124.179082
-2.447592068,-126.2176127
-2.447592068,-118.2441908
-2.447592068,-106.2840579
-2.447592068,-92.33056949
-2.396600567,-77.70133549
-2.362606232,-65.7336734
-2.311614731,-53.09779489
-2.277620397,-37.80787366
-2.243626062,-27.16911522
-2.192634561,-13.86878488
-2.107648725,0.767978316
-2.073654391,12.73564041
-2.005665722,24.71083169
-1.937677054,40.00828212
-1.852691218,51.98723801
-1.733711048,65.96707858
-1.529745042,78.63683849
-1.291784703,85.99851298
-0.95184136,94.0472269
-0.577903683,98.78121088
-0.186968839,99.5322485
0.271954674,104.2850555
0.611898017,105.6892511
0.934844193,107.0896822
1.257790368,109.8190169
1.529745042,110.5437023
1.886685552,111.2872107
2.226628895,114.6847618
2.651558074,117.4366841
3.059490085,118.8559382
3.535410765,121.6191543
3.535410765,105.6723104
3.501416431,93.70464834
3.450424929,81.06876982
3.399433428,65.11063217
3.382436261,53.81118651
3.297450425,41.16777879
3.229461756,24.54142471
3.195467422,9.915955314
3.127478754,-8.703754247
3.025495751,-27.33099301
2.889518414,-42.64350183
2.770538244,-57.95224605
2.583569405,-70.61824137
2.209631728,-83.32564728
1.733711048,-93.39783347
1.206798867,-99.49460251
0.815864023,-102.2389956
0.305949008,-106.3386446
-0.033994334,-109.0717439
-0.390934844,-111.8086078
-0.866855524,-114.5718239
-1.223796034,-119.9664951
-1.563739377,-121.3706907
-1.78470255,-124.0774378
-2.175637394,-126.8218309
-2.600566572,-130.9026569
-2.821529745,-134.2738558
-3.161473088,-136.3425033
-3.535410765,-140.4120354
-3.501416431,-127.7799215
-3.518413598,-113.8301977
-3.484419263,-101.1980838
-3.450424929,-85.90816259
-3.433427762,-71.95090962
-3.365439093,-53.99565189
-3.314447592,-36.70861058
-3.246458924,-15.43109371
-3.144475921,0.538337741
-3.110481586,9.848192522
-3.059490085,21.15516738
-3.025495751,39.10289592
-2.889518414,54.41540474
-2.804532578,66.39436063
-2.617563739,78.39590412
-2.413597734,87.07895306
-2.141643059,93.78370493
-1.801699717,98.51015971
-1.410764873,103.2479083
-1.036827195,105.324085
-0.628895184,108.0722427
-0.220963173,108.8270449
0.339943343,109.6157285
0.781869688,111.7069636
1.223796034,113.1337468
1.750708215,115.9082567
2.362606232,117.3726859
3.178470255,120.211194
3.773371105,122.3363105
4.33427762,127.7761569
4.521246459,127.1531157
4.57223796,115.2042766
4.555240793,100.5825718
4.504249292,85.95333779
4.45325779,71.32410379
4.385269122,55.36220154
4.33427762,41.39741937
4.300283286,27.4364018
4.249291785,14.13607145
4.181303116,0.831976509
4.113314448,-12.47211843
4.011331445,-28.44154989
3.909348442,-43.08207768
3.773371105,-59.05903833
3.603399433,-68.39900991
3.433427762,-77.07452966
3.161473088,-86.43708884
2.770538244,-93.83264473
2.379603399,-97.24148965
1.886685552,-103.9951813
1.393767705,-107.4266138
0.95184136,-110.8467526
0.577903683,-112.9229292
0.339943343,-115.6334409
-0.169971671,-118.4041862
-0.59490085,-121.1561085
-0.985835694,-123.9005016
-1.461756374,-126.6637177
-1.90368272,-130.7483083
-1.90368272,-130.7483083
-2.294617564,-134.1571532
-2.736543909,-138.9061956
-3.042492918,-143.6251212
-3.501416431,-147.0490245
-3.841359773,-152.4399311
-4.198300283,-154.5123432
-4.521246459,-156.5772261
-4.504249292,-137.3043585
-4.504249292,-123.3508701
-4.487252125,-107.4002616
-4.45325779,-89.4525331
-4.419263456,-76.15596736
-4.368271955,-64.8489925
-4.317280453,-44.90414388
-4.249291785,-31.60004894
-4.181303116,-15.63814669
-4.113314448,4.310466528
-4.045325779,19.60791695
-3.943342776,40.22851119
-3.841359773,56.19794265
-3.637393768,72.85441352
-3.348441926,87.53635191
-2.957507082,96.92526329
-2.549575071,102.9956801
-2.175637394,107.0652123
-1.699716714,108.4995247
-1.274787535,111.251447
-0.866855524,111.3417974
-0.390934844,114.1050135
0.203966006,118.2234855
0.71388102,117.6719716
1.291784703,119.7933235
1.920679887,122.590421
2.481586402,123.3791046
3.025495751,123.4995718
3.586402266,124.9527072
4.062322946,125.7225678
4.8101983,128.5460175
5.320113314,129.9878592
5.609065156,131.380761
5.609065156,118.0917245
5.592067989,104.1344715
5.541076487,88.84078567
5.473087819,76.86559438
5.456090652,67.5595042
5.40509915,53.59472203
5.354107649,40.95884352
5.303116147,28.98741683
5.252124646,15.68708648
5.201133144,2.386756139
5.116147309,-6.934392441
5.082152975,-21.55986184
4.997167139,-33.53881773
4.912181303,-44.85332179
4.793201133,-56.17535505
4.674220963,-68.82629196
4.487252125,-78.17002814
4.21529745,-86.86813549
3.722379603,-98.93744177
3.229461756,-105.6911334
2.753541076,-111.1121568
2.294617564,-115.8649638
1.886685552,-117.9486697
1.461756374,-122.0294956
1.121813031,-122.7692395
0.679886686,-126.1893782
0.373937677,-128.2504965
-0.050991501,-132.3313224
-0.373937677,-134.3962053
-0.781869688,-139.1377185
-1.1898017,-142.550328
-1.478753541,-145.9365853
-1.90368272,-149.3529594
-2.413597734,-153.4526084
-2.821529745,-157.5296698
-3.195467422,-160.9347501
-3.518413598,-162.999633
-3.943342776,-166.4160071
-4.351274788,-171.1575203
-4.759206799,-174.5701298
-5.235127479,-179.3267014
-5.490084986,-182.0409777
-5.575070822,-163.4551495
-5.541076487,-146.1718728
