Force[kip],Deformation[in]
-9.972538,0
-9.568182,0.00029
-8.142654,-0.00029
-5.297386,-0.00145
-0.963615,-0.00116
4.228793,0.00029
9.062702,-0.00029
12.309064,-0.00058
13.400943,0.00058
12.756272,-0.00203
11.519875,-0.00058
10.890959,-0.00145
11.468204,0
13.012508,-0.00029
14.731555,0.00087
15.852151,0.00029
16.083578,-0.00116
15.697388,-0.00058
15.245399,0.00029
15.158844,0
15.519061,0
16.117664,-0.00058
16.702042,0
17.19356,-0.00116
17.74769,0.00058
18.663355,0.00087
20.219398,-0.00029
22.555218,0.00058
25.649246,0
29.384377,0
33.647274,-0.00087
38.394585,-0.00116
43.673706,0.00029
49.594135,-0.00116
56.256046,0.00145
63.670628,0.00261
71.726791,0.0029
80.225914,0.0029
88.960869,0.00319
97.799049,0.00696
106.715569,0.00667
115.764038,0.00609
125.0075,0.011599
134.455963,0.014789
144.047287,0.014789
153.679581,0.022908
163.2668,0.020878
172.776001,0.023487
182.22522,0.024357
191.645966,0.028417
201.039444,0.030157
210.357407,0.031896
219.526337,0.036826
228.497009,0.035376
237.280563,0.041465
245.949417,0.041175
254.60202,0.042915
263.313721,0.043785
272.104706,0.048134
280.94455,0.049874
289.786957,0.052193
298.60434,0.055673
307.397003,0.059442
316.171234,0.061472
324.908234,0.061182
333.55188,0.064082
342.032745,0.067271
350.310364,0.068431
358.40683,0.071621
366.407104,0.071911
374.419037,0.07307
382.51767,0.07829
390.705963,0.078
398.918091,0.081189
407.058014,0.082639
415.049805,0.084959
422.86972,0.088148
430.545898,0.088728
438.135773,0.092208
445.696594,0.094527
453.266602,0.093657
460.859589,0.095977
468.466797,0.099167
476.064087,0.100327
483.617676,0.105546
491.091827,0.105546
498.457306,0.109315
505.70224,0.112795
512.834351,0.111055
519.869324,0.114245
526.816711,0.117144
533.672485,0.118594
540.42865,0.118304
547.091003,0.122363
553.684326,0.124973
560.244263,0.125263
566.798767,0.127873
573.348694,0.130772
579.870483,0.131932
586.332764,0.133672
592.720886,0.137151
599.045349,0.136281
605.328125,0.135701
611.574463,0.140051
617.75647,0.142081
623.820129,0.14266
629.72113,0.1473
635.455688,0.1473
641.068909,0.14672
646.631531,0.149909
652.196716,0.150779
657.769592,0.152519
663.302429,0.152519
668.726807,0.155129
673.99469,0.158318
679.105957,0.158608
684.103088,0.160638
689.044495,0.161218
693.971924,0.163827
698.895142,0.165277
703.797729,0.166437
708.658386,0.167017
713.470032,0.166147
718.240967,0.170496
722.981689,0.172816
727.686584,0.173106
732.327454,0.171946
736.86499,0.177745
741.271973,0.177745
745.551514,0.178035
749.744568,0.178325
753.915161,0.178325
758.125854,0.182385
762.408691,0.183255
766.746643,0.183545
771.079651,0.183835
775.332642,0.187894
779.450439,0.188474
783.419739,0.189634
787.265015,0.188184
791.021667,0.188474
794.699158,0.190794
798.263672,0.193403
801.652954,0.194563
804.815796,0.193113
807.754211,0.193693
810.536987,0.194563
813.271301,0.196883
816.046753,0.197753
818.884521,0.196883
821.727356,0.199202
824.480591,0.200942
827.078979,0.200362
829.538208,0.199782
831.956543,0.203262
834.458008,0.201522
837.113525,0.202102
839.894531,0.200652
842.683777,0.205871
845.342346,0.205581
847.790833,0.204712
850.050049,0.207031
852.216797,0.207031
854.386108,0.207321
856.570251,0.208481
858.677917,0.207901
860.564209,0.206741
862.126587,0.208771
863.386475,0.208191
864.50293,0.208191
865.709473,0.209931
867.205322,0.210221
869.068237,0.211091
871.232483,0.21312
873.53772,0.21312
875.817749,0.211961
877.974121,0.21254
879.999512,0.21341
881.945129,0.21428
883.862915,0.21254
885.765869,0.21283
887.625488,0.21254
889.401245,0.21312
891.070984,0.21312
892.644592,0.2137
894.144348,0.21399
895.575256,0.21399
896.902771,0.21486
898.054565,0.21573
898.944641,0.21631
899.506165,0.21573
899.717712,0.2166
899.618958,0.21457
899.30835,0.21515
898.925049,0.21602
898.617432,0.21631
898.495178,0.21747
898.586182,0.21834
898.802979,0.21776
898.946472,0.21892
898.750244,0.21834
897.962524,0.21863
896.4328,0.21892
894.16925,0.2195
891.339783,0.21863
888.218323,0.21863
885.088745,0.21863
882.151611,0.2195
879.471924,0.21805
876.985107,0.21863
874.563232,0.21863
872.103271,0.21892
869.598083,0.21921
867.145508,0.21689
864.891907,0.219789
862.9375,0.221529
861.258423,0.21921
859.692078,0.220659
857.995972,0.21805
855.949951,0.21805
853.446472,0.21921
850.515015,0.21892
847.281738,0.220369
843.88623,0.21863
840.410889,0.21863
836.863708,0.21747
833.20636,0.21718
829.410095,0.21573
825.492676,0.21573
821.511841,0.21631
817.528076,0.21486
813.567932,0.21776
809.618042,0.2166
805.648437,0.21718
801.647888,0.21515
797.635559,0.21486
793.64032,0.2166
789.66449,0.21602
785.661316,0.2166
781.542969,0.21776
777.214417,0.2166
772.613953,0.21602
767.734497,0.21602
762.619995,0.21573
757.341492,0.21428
751.977722,0.212251
746.601624,0.2137
741.275391,0.211381
736.044128,0.211091
730.926392,0.210511
725.90509,0.208481
720.932556,0.205871
715.953674,0.205871
710.930725,0.204422
705.856995,0.203842
700.746521,0.199782
695.603149,0.200652
690.397278,0.200362
685.060303,0.200652
679.513428,0.199492
673.706482,0.195433
667.645447,0.194273
661.396912,0.196303
655.062134,0.189924
648.73877,0.189054
642.490051,0.189634
636.335571,0.185574
630.262024,0.182095
624.24292,0.182965
618.250061,0.183835
612.254333,0.182095
606.219421,0.178905
600.103271,0.177745
593.864075,0.173976
587.474365,0.176006
580.928345,0.173106
574.241638,0.169047
567.434631,0.167307
560.515076,0.166147
553.467651,0.163248
546.256836,0.164117
538.84082,0.160058
531.194397,0.156578
523.329956,0.157448
515.305664,0.154549
507.21933,0.153389
499.18689,0.149909
491.316315,0.14904
483.675201,0.14788
476.266296,0.1444
469.021515,0.14614
461.820862,0.141211
454.52887,0.139471
447.039459,0.138891
