Force[kip],Deformation[in]
-8.295228,0
-7.555076,0.00145
-5.566324,0.002029
-2.921027,0.002029
-0.31657,0.00145
1.717957,0.002609
2.985407,0.002319
3.607649,0.001739
3.866861,0.00145
4.014198,0.002029
4.154102,0.002609
4.253704,0.002609
4.238317,0.002319
4.094404,0.002609
3.904859,0.002029
3.802895,0.002029
3.883515,0.001739
4.138969,0.001739
4.465809,0.003189
4.731666,0.003769
4.857172,0.00145
4.868428,0.00058
4.875246,0.003479
4.998017,0.002029
5.2942,0.002899
5.724184,0.002899
6.190213,0.002319
6.619519,0.001739
7.037622,0.003189
7.569798,0.00145
8.371772,0.002029
9.553705,0.002319
11.126812,0.004059
13.002888,0.004639
15.054429,0.006379
17.192453,0.009858
19.408943,0.013048
21.760456,0.019717
24.308472,0.023486
27.060532,0.024066
29.948561,0.029865
32.863129,0.035085
35.718498,0.037694
38.499424,0.040884
41.261379,0.045233
44.084869,0.052482
47.015381,0.052482
50.029327,0.058281
53.046551,0.061471
55.977577,0.06466
58.779118,0.06843
61.480152,0.07162
64.167366,0.074519
66.936165,0.074519
69.836693,0.083508
72.847702,0.085248
75.894806,0.086697
78.901909,0.091337
81.838531,0.094236
84.735718,0.095976
87.657318,0.101485
90.644089,0.107284
93.674759,0.106994
96.672867,0.110764
99.553566,0.112794
102.28154,0.117723
104.896469,0.118883
107.489098,0.125552
110.14106,0.125552
112.870674,0.128741
115.627846,0.132511
118.328056,0.1357
120.909683,0.13831
123.377136,0.14034
125.79628,0.143239
128.251526,0.145559
130.790054,0.149038
133.394119,0.154258
135.994781,0.154548
138.520416,0.159187
140.944672,0.160057
143.302948,0.159767
145.66893,0.165566
148.103439,0.167596
150.610825,0.170785
153.132675,0.173685
155.581711,0.178034
157.894058,0.179484
160.066376,0.182384
162.158569,0.184993
164.259384,0.186153
166.437805,0.190213
168.711868,0.190792
171.049026,0.195432
173.395798,0.196012
175.715729,0.198621
178.010864,0.201231
180.314392,0.200071
182.660477,0.204421
185.047363,0.20848
187.422485,0.21109
189.700165,0.212539
191.80722,0.215149
193.727509,0.216019
195.518066,0.220948
197.286407,0.221818
199.139023,0.220368
201.132568,0.224138
203.254242,0.227327
205.440109,0.226457
207.612946,0.232547
209.717087,0.232547
211.73613,0.235156
213.687073,0.237766
215.596252,0.236896
217.478271,0.239506
219.336746,0.244145
221.17485,0.243275
223.00209,0.249364
224.83371,0.247334
226.674316,0.249074
228.502014,0.252264
230.268005,0.255743
231.916153,0.256033
233.415573,0.256323
234.783691,0.260962
236.089188,0.259803
237.419983,0.262122
238.832779,0.265602
240.323563,0.267052
241.834763,0.265602
243.292297,0.265892
244.651794,0.271111
245.924698,0.273721
247.163742,0.273721
248.418015,0.2772
249.693741,0.27546
250.952545,0.27865
252.142395,0.27894
253.23941,0.282419
254.272385,0.283289
255.308304,0.284449
256.404236,0.282999
257.559723,0.287929
258.708923,0.287349
