Force[kip],Deformation[in]
0,0
-2.00465429526410,0.000363050000000000
-2.89667991312707,-0.000363050000000000
-3.30541602244569,-0.000363050000000000
-4.47253133012068,-0.00182035000000000
-5.38741668814332,-0.00327600000000000
-7.23671600863604,-0.00582080000000000
-8.84467120800225,-0.00654865000000000
-8.77156264436395,-0.00764120000000000
-10.1478692148944,-0.00764290000000000
-12.1069302707645,-0.00727815000000000
-13.2085843288843,-0.00946160000000000
-14.0444690534729,-0.00982480000000000
-15.5517570258396,-0.0109175000000000
-15.9536063519396,-0.00982480000000000
-17.9699361057318,-0.0109155000000000
-18.6791133872792,-0.0123695000000000
-20.3971962078011,-0.0138220000000000
-21.4552822722706,-0.0145515000000000
-21.9970107888707,-0.0145515000000000
-23.6499465629317,-0.0163700000000000
-24.2594375330985,-0.0170975000000000
-25.7607682581833,-0.0174605000000000
-26.8872068699344,-0.0178270000000000
-27.6021381396148,-0.0181900000000000
-30.1893816428007,-0.0189195000000000
-30.7311840410054,-0.0203740000000000
-31.7673830910693,-0.0214665000000000
-33.7282322287026,-0.0229200000000000
-33.5744862661559,-0.0229200000000000
-34.8927313150768,-0.0236480000000000
-36.9052884301849,-0.0240125000000000
-38.6622284992345,-0.0261945000000000
-39.1198413494273,-0.0254670000000000
-40.4749920432115,-0.0276485000000000
-41.3643685685282,-0.0261965000000000
-42.0746135400340,-0.0276485000000000
-44.2595962322174,-0.0291090000000000
-44.9819408822693,-0.0302000000000000
-46.0337402730943,-0.0298350000000000
-47.3975032729784,-0.0320190000000000
-48.8472448177254,-0.0327470000000000
-50.5453034267257,-0.0342025000000000
-52.0485958052035,-0.0356560000000000
-52.1489164844570,-0.0356580000000000
-53.3553348633907,-0.0356560000000000
-55.2061350303043,-0.0367490000000000
-56.3217144525192,-0.0371105000000000
-57.6070999905525,-0.0382045000000000
-58.4014471676456,-0.0378400000000000
-59.8881853344741,-0.0392955000000000
-61.3083555142438,-0.0403880000000000
-62.2758972494123,-0.0400230000000000
-63.8438599577435,-0.0422050000000000
-63.4568766444195,-0.0429330000000000
-64.5690857141409,-0.0443900000000000
-66.4312124624048,-0.0440235000000000
-68.6052188382573,-0.0454810000000000
-70.1920694118548,-0.0472995000000000
-70.6776596809353,-0.0483935000000000
-71.8008587300710,-0.0472995000000000
-72.9535914120485,-0.0476630000000000
-74.2972165000686,-0.0483905000000000
-75.4610475510478,-0.0502125000000000
-76.0867320351723,-0.0513015000000000
-77.3898129481237,-0.0516665000000000
-78.3421930815806,-0.0527560000000000
-79.9115207772725,-0.0545725000000000
-80.4310602385999,-0.0556670000000000
-82.5370308306475,-0.0567595000000000
-82.8294488616011,-0.0567610000000000
-84.4197495789998,-0.0574890000000000
-86.1921934448890,-0.0593090000000000
-87.5881058470388,-0.0593080000000000
-87.4945561222266,-0.0600375000000000
-89.4218906732285,-0.0593080000000000
-90.5705654470489,-0.0603985000000000
-91.0699842129440,-0.0614875000000000
-92.1494258209276,-0.0629430000000000
-94.0631641093580,-0.0636715000000000
-94.3598226435003,-0.0643975000000000
-96.0012625059684,-0.0643990000000000
-98.1705767044124,-0.0665825000000000
-99.4771092576651,-0.0669475000000000
-99.8621014748010,-0.0673120000000000
-100.812314925056,-0.0684045000000000
-102.037073061941,-0.0702215000000000
-102.391624670075,-0.0713160000000000
-105.166197608578,-0.0716810000000000
-105.675405574537,-0.0727680000000000
