Force[kip],Deformation[in]
3.209455,0
4.085663,0.00029
6.416053,-0.002319
9.462171,-0.002029
12.423035,0.00029
14.824135,0.00087
16.715631,-0.000579048
18.58288,-0.000579048
21.040321,-0.000579048
24.493666,-0.002609
28.955204,-0.001739
34.089634,-0.002029
39.43924,0.00029
44.6782,-0.001739
49.749737,-0.001159
54.826935,-0.001159
60.150288,-0.001159
65.856804,0.004636
71.897438,0.005505
78.084045,0.004636
84.215561,0.007534
90.19593,0.008113
96.077995,0.010431
102.015724,0.009852
108.158798,0.009562
114.555862,0.013039
121.121582,0.014487
127.684029,0.015936
134.078659,0.015936
140.233612,0.018544
146.207825,0.016805
152.167145,0.021151
158.306534,0.020282
164.752609,0.023469
171.495087,0.025208
178.390533,0.026077
185.236069,0.028974
191.864273,0.028974
198.215042,0.030423
204.345505,0.034769
210.378555,0.035638
216.423965,0.03361
222.525589,0.038246
228.659271,0.041723
234.772964,0.039695
240.838699,0.045779
246.874329,0.046648
252.923752,0.047518
259.010071,0.048966
265.096771,0.050705
271.094513,0.050994
276.911865,0.054471
282.512939,0.054761
287.945557,0.05621
293.326172,0.056789
298.786316,0.058238
304.410187,0.062584
310.202087,0.062584
316.096649,0.064322
321.997162,0.066061
327.820953,0.068668
333.526031,0.067799
339.11377,0.072725
344.613464,0.072725
350.062805,0.073304
355.494141,0.075912
360.92688,0.079099
366.353607,0.079099
371.737,0.07852
377.025665,0.083155
382.185059,0.084604
387.228302,0.086922
392.224426,0.08895
397.269867,0.08953
402.433289,0.091268
407.710815,0.095614
413.023712,0.094745
418.26651,0.095324
423.372742,0.10025
428.354279,0.10025
433.287964,0.101699
438.256073,0.104596
443.27948,0.105755
448.294312,0.106045
453.191284,0.109232
457.886902,0.11126
462.378876,0.112419
466.747406,0.113578
471.103149,0.115896
475.519775,0.116475
479.993652,0.116765
484.467346,0.12227
488.889618,0.123139
493.264862,0.123429
497.653137,0.125167
502.119171,0.126906
506.670288,0.130672
511.2276,0.130093
515.658508,0.134439
519.854187,0.135308
523.796509,0.135598
527.567871,0.135308
531.301697,0.140234
535.107483,0.140234
539.018372,0.139944
542.995239,0.143131
546.979675,0.145449
550.944397,0.147188
554.904358,0.147477
558.881287,0.148057
562.8526,0.154431
566.72583,0.153272
570.360535,0.154431
573.632812,0.1553
576.505371,0.157039
579.061584,0.157908
581.483521,0.157908
583.983093,0.159067
586.724976,0.159936
589.766174,0.161675
593.046875,0.165731
596.4328,0.164862
599.785217,0.165441
603.026001,0.170946
606.16748,0.171815
609.296204,0.171236
612.514709,0.171236
615.873718,0.175872
619.330933,0.175582
622.755676,0.175292
625.981567,0.180508
628.873413,0.180508
631.383301,0.181666
633.561584,0.182825
635.52301,0.183115
637.3797,0.1892
639.189209,0.187751
640.936768,0.187171
642.563171,0.188041
644.021851,0.188041
645.334778,0.191518
646.610779,0.193256
648.016541,0.191228
649.712097,0.192387
651.780151,0.193546
654.182556,0.192387
656.771729,0.194705
659.348145,0.198471
661.739075,0.196733
663.855835,0.197023
665.707825,0.200789
667.373657,0.201079
668.949829,0.201658
670.501831,0.203687
672.043152,0.202238
673.536804,0.202528
674.911926,0.206874
676.087158,0.208033
676.988953,0.207163
677.568909,0.209481
677.821716,0.209481
677.80481,0.207743
677.642273,0.210351
677.503357,0.209481
677.554749,0.209192
677.906189,0.207743
678.579041,0.208612
679.511475,0.208322
680.592468,0.21093
681.702759,0.210351
682.751953,0.21122
683.691772,0.21151
684.513245,0.21064
685.233032,0.215276
685.876404,0.214407
686.465454,0.215566
687.008667,0.214697
687.50592,0.216145
687.956482,0.217594
688.37262,0.216435
688.778381,0.216145
689.198425,0.217594
689.63092,0.216725
690.02655,0.217594
690.29248,0.218174
690.333801,0.217304
690.113159,0.216725
689.696655,0.217015
689.252869,0.217884
689.003601,0.217884
689.136292,0.216725
689.718323,0.217304
690.643799,0.217015
691.641418,0.217594
692.343201,0.217884
692.394592,0.217884
691.575928,0.216725
689.891418,0.217015
687.584229,0.218463
685.057983,0.217015
682.720947,0.217884
680.816101,0.218753
679.310974,0.217015
677.916992,0.216725
676.229736,0.216435
673.930237,0.215276
670.934265,0.217015
667.423401,0.217304
663.743591,0.216435
660.230286,0.219622
657.066406,0.218463
654.243469,0.217594
651.638855,0.218463
649.134216,0.217884
646.703369,0.217594
644.403687,0.217015
642.293579,0.217304
640.339905,0.217304
638.39325,0.218463
636.25177,0.218463
633.767883,0.217594
630.930664,0.218463
627.872437,0.216435
624.79657,0.217304
621.871582,0.215856
619.149841,0.217884
616.557678,0.218174
613.94696,0.216435
611.178711,0.212089
608.187012,0.212668
604.993835,0.212379
601.680054,0.212379
598.342346,0.212089
595.063965,0.21093
591.907715,0.209192
588.915588,0.209481
586.0979,0.208322
583.416199,0.206584
580.776672,0.206294
578.049622,0.205425
575.126282,0.203107
571.977539,0.203107
568.677979,0.203687
565.363831,0.201369
562.146667,0.200499
559.032288,0.19963
555.899292,0.197892
552.560059,0.194415
548.868835,0.197023
544.809753,0.195284
540.50354,0.193256
536.133423,0.191518
531.841492,0.190069
527.657104,0.189489
523.510681,0.182825
519.317078,0.185143
515.073059,0.184274
510.888306,0.179059
506.926514,0.1779
503.300598,0.179059
499.982697,0.179349
496.792755,0.173554
493.474213,0.172685
489.819763,0.173554
485.771332,0.175582
481.436096,0.173554
477.013733,0.168628
472.680573,0.168049
468.494263,0.169208
464.366394,0.163703
460.116913,0.163992
455.570496,0.163413
450.644775,0.158777
445.388763,0.156459
439.962646,0.157618
434.571869,0.153562
429.384583,0.151244
424.467133,0.152113
419.764465,0.148347
415.13446,0.149216
410.419891,0.147188
405.523468,0.147477
400.446869,0.144
395.276611,0.141393
390.124969,0.141972
385.062988,0.138206
380.082397,0.138495
375.102234,0.135598
370.014221,0.132121
364.738647,0.131542
359.260132,0.126326
353.628021,0.126616
347.927399,0.126037
342.241364,0.12285
336.623535,0.12227
331.088013,0.121691
325.6185,0.121111
320.183777,0.117924
314.747253,0.113288
309.270782,0.114157
303.723602,0.110391
298.092499,0.106914
292.392792,0.107204
286.673309,0.104017
281.005035,0.104596
275.451691,0.103437
270.034912,0.10025
264.724426,0.098222
259.458313,0.097353
254.175797,0.095035
248.83905,0.090978
243.434631,0.091558
237.954498,0.086343
232.381561,0.086922
226.69516,0.085473
220.899521,0.082576
215.050613,0.081417
209.24707,0.080837
203.583954,0.079099
198.093521,0.076491
192.712891,0.075043
187.30275,0.072435
181.711929,0.068958
175.857529,0.070407
169.769699,0.067509
163.574417,0.064902
157.429459,0.064902
151.446777,0.064322
145.644958,0.057658
139.95903,0.057948
134.288467,0.057369
128.555588,0.050994
122.741837,0.053892
116.87793,0.053023
111.002518,0.050994
105.128166,0.047518
99.241142,0.049546
93.327583,0.048387
87.40448,0.045489
81.520676,0.042013
75.723579,0.039695
70.019714,0.039405
64.367264,0.035638
58.71011,0.034479
53.034061,0.03332
47.404366,0.03332
41.943573,0.030423
36.760048,0.028974
31.875313,0.028974
27.202679,0.028395
22.598473,0.028105
17.964687,0.023469
13.338335,0.023759
8.916903,0.022021
4.995975,0.02289
1.849235,0.022021
-0.380538,0.021731
-1.727919,0.02289
-2.373285,0.021731
-2.561021,0.02318
-2.516596,0.023759
-2.403385,0.020862
-2.32776,0.023469
-2.364427,0.02318
-2.561816,0.02231
-2.928758,0.021731
-3.42047,0.025497
-3.945141,0.023759
-4.399581,0.023469
-4.722296,0.02289
-4.930518,0.021731
-5.109138,0.019992
-5.360534,0.021151
-5.748733,0.020862
-6.267148,0.019413
-6.843307,0.021151
-7.37803,0.018833
-7.795907,0.020282
-8.083229,0.018544
-8.301473,0.016805
-8.571042,0.017385
-9.037632,0.017674
-9.83325,0.017095
-11.042161,0.017385
-12.692372,0.017674
-14.784677,0.016226
-17.333817,0.016226
-20.391485,0.012169
-24.034426,0.012459
-28.314653,0.012749
-33.206776,0.010721
-38.590187,0.006664
-44.284073,0.007244
-50.110359,0.002608
-55.949059,0.002029
-61.758411,0.00058
-67.554413,-0.004929
-73.368866,-0.004639
-79.215698,-0.009269
-85.085793,-0.009269
-90.967491,-0.015359
-96.867561,-0.017379
-102.816139,-0.018249
-108.859352,-0.022599
-115.036842,-0.021439
-121.354713,-0.026369
-127.773346,-0.032739
-134.216568,-0.033319
-140.596024,-0.035639
-146.841888,-0.039409
-152.928757,-0.041139
-158.886673,-0.044329
-164.791428,-0.049839
-170.734909,-0.049839
-176.789703,-0.055049
-182.978241,-0.055629
-189.260513,-0.060559
-195.551559,-0.060849
-201.765854,-0.065189
-207.861755,-0.067219
-213.863937,-0.070119
-219.849991,-0.071859
-225.903854,-0.078229
-232.061737,-0.079969
-238.281006,-0.082869
-244.456131,-0.084599
-250.476517,-0.087789
-256.290344,-0.086919
-261.942383,-0.091559
-267.562531,-0.095319
-273.303406,-0.095319
-279.267456,-0.099669
-285.456329,-0.105179
-291.769379,-0.106909
-298.049622,-0.108069
-304.156433,-0.111839
-310.033234,-0.113289
-315.732941,-0.118499
-321.387451,-0.117049
-327.133698,-0.119369
-333.041962,-0.123429
-339.076447,-0.123429
-345.111237,-0.129219
-350.990051,-0.127489
-356.60611,-0.133859
-361.954376,-0.136179
-367.129608,-0.136179
-372.278473,-0.139939
-377.531006,-0.143419
-382.93985,-0.146319
-388.456635,-0.143999
-393.963531,-0.150659
-399.342041,-0.150949
-404.537689,-0.156459
-409.592041,-0.155879
-414.624847,-0.157329
-419.770935,-0.161669
-425.103607,-0.161379
-430.589691,-0.163699
-436.106323,-0.168919
-441.511139,-0.169789
-446.721954,-0.172389
-451.759094,-0.175869
-456.726715,-0.176739
-461.742218,-0.178189
-466.86026,-0.181089
-472.036865,-0.182829
-477.161591,-0.184849
-482.134491,-0.188909
-486.935883,-0.192679
-491.648804,-0.192099
-496.417908,-0.194699
-501.369232,-0.197309
-506.536377,-0.195859
-511.840027,-0.201079
-517.128235,-0.202529
-522.25354,-0.204559
-527.142456,-0.205999
-531.820801,-0.209479
-536.386475,-0.212669
-540.950073,-0.213829
-545.583862,-0.214119
-550.303833,-0.218749
-555.086304,-0.220489
-559.896606,-0.218459
-564.70697,-0.225129
-569.497375,-0.225709
-574.239441,-0.229469
-578.890747,-0.230049
-583.403748,-0.231789
-587.746277,-0.235559
-591.916138,-0.234399
-595.944458,-0.237299
-599.881836,-0.239609
-603.774536,-0.240479
-607.64679,-0.240479
-611.503296,-0.247149
-615.339722,-0.247729
