Deformation[in],Force[kip]
-2.568666531,-72.79794567
-2.570448044,-74.76498127
-2.575792583,-76.06087725
-2.575792583,-77.78783131
-2.575792583,-79.51478537
-2.575792583,-81.24173942
-2.575792583,-82.96869348
-2.575792583,-84.69564754
-2.575792583,-86.42260159
-2.575792583,-88.14955565
-2.575792583,-89.87650971
-2.575792583,-91.60346377
-2.575792583,-93.33041782
-2.570448044,-95.63234279
-2.565103505,-96.97484884
-2.557977454,-63.20239558
-2.559758967,-65.40928591
-2.565103505,-66.84909473
-2.565103505,-68.57604879
-2.565103505,-70.30300285
-2.547288377,-58.59582389
-2.554414428,-60.51556898
-2.536599299,-53.8933103
-2.543725351,-55.90899728
-2.530898458,-96.66347998
-2.525910222,-49.67050617
-2.533036273,-51.30242559
-2.515221145,-45.25581826
-2.522347196,-47.27150524
-2.504532067,-41.3208398
-2.511658119,-42.66493354
-2.500969041,-96.19914844
-2.50631358,-97.35113158
-2.495624503,-37.19420438
-2.500969041,-39.20966455
-2.483153913,-33.06711533
-2.490279964,-35.17874421
-2.472464835,-28.65242742
-2.479590887,-30.57217251
-2.46622954,-96.69842052
-2.463557271,-25.38926902
-2.451086681,-21.74188943
-2.458212732,-23.08598317
-2.442179116,-17.90307968
-2.442179116,-19.4861209
-2.436834577,-96.76663453
-2.429708526,-14.06381631
-2.436834577,-16.17544519
-2.419019449,-10.03289596
-2.4261455,-11.56887349
-2.408330371,-6.001975619
-2.415456423,-7.537953144
-2.404767345,-96.35959595
-2.399422807,-3.074613846
-2.386952217,2.059865071
-2.388733729,0.236742308
-2.394078268,-1.203066512
-2.376263139,6.570494876
-2.383389191,4.554807891
-2.372700113,-95.51122466
-2.372700113,-96.75846926
-2.365574062,9.546054408
-2.354884985,13.96074232
-2.356666497,12.04167767
-2.344195907,16.93630185
-2.343305151,-95.89124982
-2.33350683,19.7199776
-2.324599265,22.40748464
-2.313910188,24.42362526
-2.308565649,-95.59900129
-2.303221111,27.59106857
-2.308565649,25.86343408
-2.292532033,29.60720918
-2.281842956,32.05508831
-2.276498417,-95.49897676
-2.271153879,33.92731608
-2.260464801,35.79954386
-2.247994211,37.76794033
-2.244431185,-95.01518467
-2.230179082,40.07281387
-2.215926979,42.37723379
-2.212363953,-95.01110203
-2.196330337,44.58639225
-2.18564126,46.60253286
-2.180296721,-94.04760048
-2.180296721,-95.58267075
-2.164263105,48.90786002
